N,kind,adjoint,peak_alloc_bytes,peak_alloc_mib,loss,status
50,geometric_euler,autograd,240432128,229.291015625,21.0696,ok
50,geometric_euler,checkpoint,240432640,229.29150390625,21.0696,ok
50,cfees25,reversible,191645184,182.7646484375,21.0871,ok
200,geometric_euler,autograd,797332480,760.41015625,21.0551,ok
200,geometric_euler,checkpoint,797332992,760.41064453125,21.0551,ok
200,cfees25,reversible,673608192,642.40380859375,21.0472,ok
800,geometric_euler,autograd,2927819776,2792.5361328125,21.0656,ok
800,geometric_euler,checkpoint,2927594752,2792.32080078125,21.0656,ok
800,cfees25,reversible,2628949248,2506.71630859375,21.0675,ok
2000,geometric_euler,autograd,6532907008,6229.9580078125,21.0683,ok
2000,geometric_euler,checkpoint,6532907520,6229.95849609375,21.0683,ok
2000,cfees25,reversible,6533059584,6230.1064453125,21.0645,ok
5000,geometric_euler,autograd,16299073536,15545.10595703125,21.0686,ok
5000,geometric_euler,checkpoint,16299074048,15545.1064453125,21.0686,ok
