N,kind,adjoint,peak_alloc_bytes,peak_alloc_mib,loss,status
50,geometric_euler,autograd,765955072,730.4716796875,21.035585403442383,ok
50,cfees25,reversible,766110720,730.6201171875,21.01543617248535,ok
200,geometric_euler,autograd,818092032,780.193359375,21.054967880249023,ok
200,cfees25,reversible,766111232,730.62060546875,21.016286849975586,ok
800,geometric_euler,autograd,2452348928,2338.7421875,21.02928352355957,ok
800,cfees25,reversible,766113792,730.623046875,21.02345085144043,ok
2000,geometric_euler,autograd,4371278336,4168.77587890625,21.03167724609375,ok
2000,cfees25,reversible,766118400,730.62744140625,21.022926330566406,ok
5000,geometric_euler,autograd,11488667136,10956.44677734375,20.999237060546875,ok
5000,cfees25,reversible,766130688,730.63916015625,21.021230697631836,ok
